time,Volume fraction
970,0.897171733
971,0.897458294
972,0.897693622
973,0.89788364
974,0.898053485
975,0.898264059
976,0.898574736
977,0.899008501
978,0.899562503
979,0.900221262
980,0.900901818
981,0.901563124
982,0.902209131
983,0.902812433
984,0.903347753
985,0.903877882
986,0.90440026
987,0.90491343
988,0.905416291
989,0.905908248
990,0.906388747
991,0.906857676
992,0.907314976
993,0.907760633
994,0.908194763
995,0.908617574
996,0.909029261
997,0.909430082
998,0.909820296
999,0.910200194
1000,0.910570071
